,company,date,price,ticker
97,Express Kenya Limited,15/09/2021,4.4,XPRS
98,Express Kenya Limited,16/09/2021,4.4,XPRS
99,Express Kenya Limited,17/09/2021,4.4,XPRS
100,Express Kenya Limited,18/09/2021,4.4,XPRS
101,Express Kenya Limited,19/09/2021,4.4,XPRS
102,Express Kenya Limited,20/09/2021,4.4,XPRS
103,Express Kenya Limited,21/09/2021,4.61,XPRS
104,Express Kenya Limited,22/09/2021,4.61,XPRS
105,Express Kenya Limited,23/09/2021,4.5,XPRS
106,Express Kenya Limited,24/09/2021,4.5,XPRS
107,Express Kenya Limited,25/09/2021,4.5,XPRS
108,Express Kenya Limited,26/09/2021,4.5,XPRS
109,Express Kenya Limited,27/09/2021,4.5,XPRS
110,Express Kenya Limited,28/09/2021,4.5,XPRS
111,Express Kenya Limited,29/09/2021,4.5,XPRS
112,Express Kenya Limited,30/09/2021,4.45,XPRS
113,Express Kenya Limited,01/10/2021,4.39,XPRS
114,Express Kenya Limited,02/10/2021,4.39,XPRS
115,Express Kenya Limited,03/10/2021,4.39,XPRS
116,Express Kenya Limited,04/10/2021,4.39,XPRS
117,Express Kenya Limited,05/10/2021,4.21,XPRS
118,Express Kenya Limited,06/10/2021,4.4,XPRS
119,Express Kenya Limited,6/11/2021,4.22,XPRS
120,Express Kenya Limited,20/11/2021,3.80,XPRS
121,Express Kenya Limited,18/10/2021,4.40,XPRS
122,Express Kenya Limited,7/11/2021,4.22,XPRS
123,Express Kenya Limited,8/11/2021,3.80,XPRS
124,Express Kenya Limited,7/10/2021,4.40,XPRS
125,Express Kenya Limited,8/10/2021,4.40,XPRS
126,Express Kenya Limited,9/10/2021,4.40,XPRS
127,Express Kenya Limited,10/10/2021,4.40,XPRS
128,Express Kenya Limited,11/10/2021,4.40,XPRS
129,Express Kenya Limited,12/10/2021,4.40,XPRS
130,Express Kenya Limited,13/10/2021,4.40,XPRS
131,Express Kenya Limited,14/10/2021,4.40,XPRS
132,Express Kenya Limited,9/11/2021,3.80,XPRS
133,Express Kenya Limited,15/10/2021,4.40,XPRS
134,Express Kenya Limited,16/10/2021,4.40,XPRS
135,Express Kenya Limited,17/10/2021,4.40,XPRS
136,Express Kenya Limited,10/11/2021,3.80,XPRS
137,Express Kenya Limited,21/11/2021,3.80,XPRS
138,Express Kenya Limited,23/11/2021,3.80,XPRS
139,Express Kenya Limited,24/11/2021,4.05,XPRS
